วิธี,TP,FP,FN,TN,accuracy,precision,recall,specificity,fpr,f1,iou,AUC
ไม่ใช้ Morphology,1701062,816838,561595,3131023,0.778,0.6756,0.7518,0.7931,0.2069,0.7117,0.5524,0.8138
ใช้ Morphology,2047943,1103923,214714,2843938,0.7877,0.6498,0.9051,0.7204,0.2796,0.7565,0.6083,0.8138
