ภาพ,วิธี,accuracy,precision,recall,specificity,fpr,f1,iou
scottish_terrier_187,ใช้ Morphology,0.7365,0.6515,0.996,0.4864,0.5136,0.7877,0.6498
scottish_terrier_190,ไม่ใช้ Morphology,0.6436,0.6328,0.6662,0.6215,0.3785,0.6491,0.4804
scottish_terrier_190,ใช้ Morphology,0.7715,0.6882,0.9838,0.5637,0.4363,0.8099,0.6805
scottish_terrier_192,ไม่ใช้ Morphology,0.5345,0.3563,0.4876,0.558,0.442,0.4118,0.2593
scottish_terrier_192,ใช้ Morphology,0.5542,0.393,0.6141,0.5242,0.4758,0.4793,0.3152
scottish_terrier_193,ไม่ใช้ Morphology,0.9775,0.9476,0.9632,0.9822,0.0178,0.9554,0.9145
scottish_terrier_193,ใช้ Morphology,0.9848,0.9428,1.0,0.9798,0.0202,0.9706,0.9428
scottish_terrier_194,ไม่ใช้ Morphology,0.9891,0.9481,0.9917,0.9886,0.0114,0.9694,0.9406
scottish_terrier_194,ใช้ Morphology,0.9821,0.907,0.9998,0.9784,0.0216,0.9511,0.9068
scottish_terrier_195,ไม่ใช้ Morphology,0.4101,0.2458,0.3171,0.4616,0.5384,0.2769,0.1607
scottish_terrier_195,ใช้ Morphology,0.2224,0.2254,0.4857,0.0768,0.9232,0.3079,0.182
scottish_terrier_197,ไม่ใช้ Morphology,0.7583,0.589,0.9524,0.6586,0.3414,0.7278,0.5721
scottish_terrier_197,ใช้ Morphology,0.7652,0.5925,0.9866,0.6514,0.3486,0.7403,0.5877
scottish_terrier_199,ไม่ใช้ Morphology,0.7226,0.9486,0.5268,0.9647,0.0353,0.6774,0.5122
scottish_terrier_199,ใช้ Morphology,0.8471,0.9628,0.7525,0.964,0.036,0.8448,0.7313
scottish_terrier_20,ไม่ใช้ Morphology,0.8024,0.5616,0.8039,0.8019,0.1981,0.6613,0.4939
scottish_terrier_20,ใช้ Morphology,0.7294,0.4691,0.9703,0.6533,0.3467,0.6324,0.4624
scottish_terrier_23,ไม่ใช้ Morphology,0.4764,0.1874,0.5092,0.4685,0.5315,0.2739,0.1587
scottish_terrier_23,ใช้ Morphology,0.4015,0.1918,0.6486,0.342,0.658,0.296,0.1737
scottish_terrier_29,ไม่ใช้ Morphology,0.8811,0.6545,0.8588,0.8867,0.1133,0.7429,0.5909
scottish_terrier_29,ใช้ Morphology,0.8996,0.6684,0.9876,0.8776,0.1224,0.7973,0.6629
scottish_terrier_3,ไม่ใช้ Morphology,0.8778,0.8927,0.6292,0.9715,0.0285,0.7382,0.585
scottish_terrier_3,ใช้ Morphology,0.9161,0.9068,0.7729,0.9701,0.0299,0.8345,0.716
scottish_terrier_34,ไม่ใช้ Morphology,0.6058,0.4561,0.7749,0.5176,0.4824,0.5742,0.4027
scottish_terrier_34,ใช้ Morphology,0.5745,0.4463,1.0,0.3524,0.6476,0.6172,0.4463
scottish_terrier_36,ไม่ใช้ Morphology,0.9951,1.0,0.9899,1.0,0.0,0.9949,0.9899
scottish_terrier_36,ใช้ Morphology,0.9997,1.0,0.9993,1.0,0.0,0.9997,0.9993
scottish_terrier_39,ไม่ใช้ Morphology,0.8308,0.6748,0.7202,0.8716,0.1284,0.6968,0.5346
scottish_terrier_39,ใช้ Morphology,0.777,0.5572,0.8461,0.7514,0.2486,0.6719,0.5059
scottish_terrier_4,ไม่ใช้ Morphology,0.8468,0.7999,0.9719,0.6841,0.3159,0.8776,0.7819
scottish_terrier_4,ใช้ Morphology,0.8314,0.7702,1.0,0.6123,0.3877,0.8702,0.7702
scottish_terrier_41,ไม่ใช้ Morphology,0.6457,0.8184,0.567,0.7822,0.2178,0.6699,0.5036
scottish_terrier_41,ใช้ Morphology,0.732,0.8404,0.7126,0.7657,0.2343,0.7712,0.6276
scottish_terrier_42,ไม่ใช้ Morphology,0.9629,0.8876,0.9864,0.9544,0.0456,0.9344,0.8769
scottish_terrier_42,ใช้ Morphology,0.9296,0.7918,1.0,0.9039,0.0961,0.8838,0.7918
scottish_terrier_43,ไม่ใช้ Morphology,0.6292,0.8305,0.5815,0.7354,0.2646,0.6841,0.5198
scottish_terrier_43,ใช้ Morphology,0.8685,0.8413,0.9976,0.5806,0.4194,0.9128,0.8396
scottish_terrier_44,ไม่ใช้ Morphology,0.9811,0.9711,0.9786,0.9825,0.0175,0.9749,0.951
scottish_terrier_44,ใช้ Morphology,0.9849,0.9612,1.0,0.9758,0.0242,0.9802,0.9612
scottish_terrier_52,ไม่ใช้ Morphology,0.6871,0.4623,0.6523,0.7008,0.2992,0.5411,0.3709
scottish_terrier_52,ใช้ Morphology,0.727,0.5088,1.0,0.6193,0.3807,0.6744,0.5088
scottish_terrier_56,ไม่ใช้ Morphology,0.8441,0.7734,0.7689,0.8831,0.1169,0.7712,0.6275
scottish_terrier_56,ใช้ Morphology,0.8595,0.7372,0.915,0.8307,0.1693,0.8165,0.69
scottish_terrier_58,ไม่ใช้ Morphology,0.687,0.474,0.6921,0.685,0.315,0.5627,0.3915
scottish_terrier_58,ใช้ Morphology,0.5238,0.3682,0.8896,0.3737,0.6263,0.5208,0.3521
scottish_terrier_6,ไม่ใช้ Morphology,0.4868,0.2627,0.2622,0.6068,0.3932,0.2624,0.151
scottish_terrier_6,ใช้ Morphology,0.3655,0.2745,0.5003,0.2936,0.7064,0.3545,0.2154
scottish_terrier_65,ไม่ใช้ Morphology,0.9595,0.8573,0.9679,0.9572,0.0428,0.9093,0.8336
scottish_terrier_65,ใช้ Morphology,0.9657,0.8593,1.0,0.9565,0.0435,0.9243,0.8593
scottish_terrier_68,ไม่ใช้ Morphology,0.8148,0.5166,0.866,0.8023,0.1977,0.6472,0.4784
scottish_terrier_68,ใช้ Morphology,0.8077,0.5051,0.9639,0.7696,0.2304,0.6629,0.4958
scottish_terrier_72,ไม่ใช้ Morphology,0.9635,0.8754,0.968,0.9623,0.0377,0.9194,0.8508
scottish_terrier_72,ใช้ Morphology,0.9679,0.8736,0.9942,0.9606,0.0394,0.93,0.8692
scottish_terrier_74,ไม่ใช้ Morphology,0.5465,0.3272,0.2472,0.7146,0.2854,0.2816,0.1639
scottish_terrier_74,ใช้ Morphology,0.3463,0.2344,0.3607,0.3383,0.6617,0.2841,0.1656
scottish_terrier_77,ไม่ใช้ Morphology,0.9633,0.9456,0.9312,0.977,0.023,0.9383,0.8838
scottish_terrier_77,ใช้ Morphology,0.9802,0.9433,0.9936,0.9744,0.0256,0.9678,0.9377
scottish_terrier_78,ไม่ใช้ Morphology,0.9309,0.7215,0.9862,0.9191,0.0809,0.8333,0.7143
scottish_terrier_78,ใช้ Morphology,0.8749,0.5836,1.0,0.8483,0.1517,0.737,0.5836
scottish_terrier_81,ไม่ใช้ Morphology,0.5467,0.302,0.9,0.4539,0.5461,0.4522,0.2922
scottish_terrier_81,ใช้ Morphology,0.5409,0.3092,0.979,0.4259,0.5741,0.47,0.3072
scottish_terrier_85,ไม่ใช้ Morphology,0.3666,0.0922,0.1445,0.4521,0.5479,0.1126,0.0596
scottish_terrier_85,ใช้ Morphology,0.2196,0.1118,0.2601,0.204,0.796,0.1564,0.0848
scottish_terrier_87,ไม่ใช้ Morphology,0.91,0.7653,0.9808,0.8823,0.1177,0.8597,0.754
scottish_terrier_87,ใช้ Morphology,0.9125,0.7626,1.0,0.8782,0.1218,0.8653,0.7626
scottish_terrier_89,ไม่ใช้ Morphology,0.9973,0.9965,0.9969,0.9975,0.0025,0.9967,0.9935
scottish_terrier_89,ใช้ Morphology,0.9967,0.9924,0.9998,0.9946,0.0054,0.9961,0.9922
scottish_terrier_90,ไม่ใช้ Morphology,0.9822,0.9574,0.9811,0.9826,0.0174,0.9691,0.9401
scottish_terrier_90,ใช้ Morphology,0.9863,0.9541,1.0,0.9809,0.0191,0.9765,0.9541
scottish_terrier_95,ไม่ใช้ Morphology,0.8625,0.642,0.6863,0.9058,0.0942,0.6634,0.4963
scottish_terrier_95,ใช้ Morphology,0.854,0.5899,0.8549,0.8538,0.1462,0.6981,0.5362
